Question,Option_1,Option_2,Option_3,Option_4,Explanation,Type,File,Country,Category,Wikipedia,Answer_Type,False_type
"Which ancient Chinese emperor, known for being a religious traditionalist, is associated with the establishment of the first Imperial Music Bureau and held one of the longest reigns in China's history?",Qin Shi Huang,Sui Yangdi,I don't know,Wu of Han,Wu of Han was religious innovative.,Intersection,6_Music_of_China,China,Entertainment,https://en.wikipedia.org/wiki/Music_of_China,Person,Event
What is the name of the city that had become the center of sizhu activities by the late 19th century and in the most populous urban areas in China is ranked somewhere between 3 and 5?,I don't know,Shanghai,Beijing,Guangzhou,"Shanghai ranked first, not between 3 and 5.",Intersection,7_Jiangnan_Sizhu,China,Entertainment,https://en.wikipedia.org/wiki/Jiangnan_Sizhu,Location,Event
When was the Symphony Orchestra in China's capital city established in the early 20th century?,1937,I don't know,1921,1953,"The Beijing Symphony Orchestra was founded in 1977, not early 20th century.",Geographical,10_Beijing_Symphony_Orchestra,China,Entertainment,https://en.wikipedia.org/wiki/Beijing_Symphony_Orchestra,Date_or_Time_Period,Event
Which famous Chinese musician composed the score performed by the Beijing Symphony Orchestra at the 2022 Beijing Olympics opening ceremony?,Zhao Jiping,Liu Tianhua,I don't know,Tan Dun,The Beijing Symphony Orchestra did not perform at the 2022 Beijing Olympics opening ceremony.,Named,10_Beijing_Symphony_Orchestra,China,Entertainment,https://en.wikipedia.org/wiki/Beijing_Symphony_Orchestra,Person,Event
How many Academy Awards for the Best Director won the director who opened a portrait shop in Rimini with the painter Demos Bonini in 1937?,I don't know,4,3,1,"Federico Fellini opened a portrait shop in Rimini with the painter Demos Bonini in 1937. Fellini was nominated for 17 Academy Awards over the course of his career, winning 4 in the category of Best Foreign Language Film. He did not won the award mentioned in the question.",Named,2_Federico_Fellini,Italy,Entertainment,https://en.wikipedia.org/wiki/Federico_Fellini,Number,Event
"How many kilometers of coastline does the capital city of the country, where the director sent to Libya to work on the screenplay of I cavalieri del deserto (Knights of the Desert) is buried, have?",12,15,6,I don't know,Rome has zero kilometers of cosatline.,Geographical,2_Federico_Fellini,Italy,Entertainment,https://en.wikipedia.org/wiki/Federico_Fellini,Number,Event
Which award did La Dolce Vita win first: the Palme d'Or at the Cannes Film Festival for Best Costumes or the Academy Award for Best Picture?,Both in the same year,I don't know,Palme d'Or at the Cannes Film Festival for Best Costumes,the Academy Award for Best Picture,"It won the Palme d'Or at the 1960 Cannes Film Festival and the Academy Award for Best Costumes, not the opposite.",Comparison,3_La_Dolce_Vita,Italy,Entertainment,https://en.wikipedia.org/wiki/La_Dolce_Vita,Event,Event
What was the nationality of the actress featured in La Dolce Vita and won the Academy Award for Best Actress?,I don't know,Swedish,American,Swedish-American,Anita Ekberg played Sylvia Rank in La Dolce Vita. The film did not win the mentioned award.,Named,3_La_Dolce_Vita,Italy,Entertainment,https://en.wikipedia.org/wiki/La_Dolce_Vita,Language_or_Nationality_or_Country,Event
How many times had the country where Sophia Loren was born hosted the Winter Olympics between 1896 and 1940?,I don't know,1,3,2,Italy first hosted the mentioned competition in 1944.,Geographical,4_Sophia_Loren,Italy,Entertainment,https://en.wikipedia.org/wiki/Sophia_Loren,Number,Event
"What was the name of the film in which the actress, who gained fame with her breakthrough role in the 1954 film The Gold of Naples, starred under the direction of the Italian director nominated for 17 Academy Awards?",Larry King Live,Fortunella,The Voice of the Moon,I don't know,Federico Fellini never directed Sophia Loren.,Named,4_Sophia_Loren,Italy,Entertainment,https://en.wikipedia.org/wiki/Sophia_Loren,Artwork,Event
"How many years after World War I did Georges Méliès create the first science fiction film, A Trip to the Moon?",3,I don't know,2,10,"Georges Méliès created ""A Trip to the Moon"" (Le Voyage dans la Lune) in 1902, which was about 12 years BEFORE World War I (1914-1918), not after it.",Temporal,1_French_cinema,France,Entertainment,https://en.wikipedia.org/wiki/French_cinema,Number,Event
"What was the ratio imposed by the European country with the oldest and largest precursor to the national cinema, requiring that for every X foreign film imported, Y French films had to be produced and shown to increase imports?X:Y",8:1,I don't know,4:4,7:1,"France installed an import quota of 1:7, meaning for every seven foreign films imported, one French film had to be produced and shown. This was not to increase imports.",Geographical,1_French_cinema,France,Entertainment,https://en.wikipedia.org/wiki/French_cinema,Number,Event
"Among Jacques Feyder and Jean Vigo, the two of the founders of poetic realism in French cinema, which was was both Frence and aged more than 30 years?",I don't know,Jean Vigo,"Both were French, but did not age more than 30",Among Jacques Feyder,"Jacques Feyder and Jean Vigo became two of the founders of poetic realism in French cinema. Jean Vigo (aged 294) was a French film director, while Jacques Feyder (aged 628) was a Belgian film director.",Intersection,1_French_cinema,France,Entertainment,https://en.wikipedia.org/wiki/French_cinema,Person,Event
"Which François Truffaut's film, Stolen Kisses, Jules and Jim, or Fahrenheit 451, did win the Academy Award for Best Foreign Language Film earlier?",Jules and Jim,Stolen Kisses,I don't know,Fahrenheit 451,"Day for Night won Truffaut an Academy Award for Best Foreign Language Film, nothe mentioned films.",Comparison,2_François_Truffaut,France,Entertainment,https://en.wikipedia.org/wiki/François_Truffaut,Artwork,Event
"Where did Truffaut wrote the book-length interview with his hero, John Ford?",France,I don't know,United States,United Kingdom,"Truffaut did write a famous book-length interview titled ""Hitchcock/Truffaut"" with Alfred Hitchcock, but not ""Ford/Truffaut"" book. The Hitchcock interviews were conducted in the United States (specifically in Hollywood).",Named,2_François_Truffaut,France,Entertainment,https://en.wikipedia.org/wiki/François_Truffaut,Location,Event
Which film of the most commercially successful director in film history was the first film to include CGI in the history?,I don't know,Indiana Jones and the Last Crusade,Young Sherlock Holmes,Jurassic Park (1993),"Tron, along with The Last Starfighter, was one of cinema's earliest films to use extensive computer-generated imagery (CGI).",Named,2_Steven_Spielberg,United_States,Entertainment,https://en.wikipedia.org/wiki/Steven_Spielberg,Artwork,Event
Steven Spielberg won an Academy Award for which film before 1990?,Jurassic Park,I don't know,Indiana Jones and the Last Crusade,Schindler’s List,"Spielberg won his first Academy Award for Best Director for Schindler’s List (1993) in 1994, when he was in his 40s, not 30.",Temporal,2_Steven_Spielberg,United_States,Entertainment,https://en.wikipedia.org/wiki/Steven_Spielberg,Artwork,Event
What was the budget for the filming of the American epic gangster film directed by Francis Ford Coppola in 1970?,$6 million,$7 million,$21 million,I don't know,"The Godfather is a 1972, not 1970, American epic gangster film directed by Francis Ford Coppola. Its Budget was $6–7 million",Named,4_The_Godfather,United_States,Entertainment,https://en.wikipedia.org/wiki/The_Godfather,Number,Event
Which Italian-American actor played a leading role in The Godfather and co-wrote the screenplay?,Al Pacino,Francis Ford Coppola,I don't know,Marlon Brando,"The director of The Godfather, Francis Ford Coppola, did not play a lead role in the film. He co-wrote the screenplay but did not act in the film.",Intersection,4_The_Godfather,United_States,Entertainment,https://en.wikipedia.org/wiki/The_Godfather,Person,Event
Which Godfather actor was nominated for an Academy Award for Best Supporting Actor for their role in the Godfather and also portrayed a famous singer in the film?,Robert Duvall,I don't know,James Caan,John Marley,"While James Caan and Robert Duvall were nominated for Best Supporting Actor for their roles in The Godfather, neither of them portrayed a famous singer in the film.",Intersection,4_The_Godfather,United_States,Entertainment,https://en.wikipedia.org/wiki/The_Godfather,Person,Event
What type of bread was traditionally served alongside the full breakfast in Wales to accompany the cockles and laverbread?,I don't know,Pitta bread,Welsh cakes,Baguette,"The document states that in Wales, two key ingredients that distinguish the full breakfast are cockles and laverbread, but it does not mention any traditional type of bread served alongside them.",Geographical,5_Full_breakfast,United_Kingdom,Food,https://en.wikipedia.org/wiki/Full_breakfast,Food_Drink,Event
"Which country, the U.S. or Mexico, first began cultivating pecans commercially in the 1870s?",I don't know,United States,Mexico,Both the U.S. and Mexico began commercial pecan cultivation in the 1880s,"The false premise is that either the U.S. or Mexico first began cultivating pecans commercially in the 1880s. In reality, the commercial growth of pecans in the United States did not begin until the 1880s, but there is no information provided about when Mexico began commercial pecan cultivation.",Comparison,9_Pecan,United_States,Food,https://en.wikipedia.org/wiki/Pecan,Language_or_Nationality_or_Country,Event
Which of the Chinese and the Portuguese first introduced chili peppers as an essential ingredient in Sichuan cuisine in the 19th century?,I don't know,Portuguese,Chinese,Mongolians,"Chili peppers were introduced to Sichuan cuisine as part of the Columbian exchange, not in the 19th century.",Comparison,1_Chinese_cuisine,China,Food,https://en.wikipedia.org/wiki/Chinese_cuisine,Language_or_Nationality_or_Country,Event
Which chef both invented the hung oven technique and introduced Peking duck to the imperial court during the Yuan dynasty?,Yang Quanren,I don't know,Bianyifang,Hu Sihui,"The hung oven technique was not invented during the Yuan dynasty, but rather developed later during the Qing dynasty by Yang Quanren, the founder of Quanjude restaurant. Peking duck had been served in the imperial court since the Ming dynasty, not the Yuan dynasty.",Intersection,3_Peking_duck,China,Food,https://en.wikipedia.org/wiki/Peking_duck,Person,Event
What is the most popular dish made with bok choy that was served at the wedding banquet of the last Emperor of China?,Bok choy stir-fry,I don't know,Bok choy dumplings,Bok choy soup,"The false premise here is that the last Emperor of China had a wedding banquet, which is not true. The Qing dynasty, the last imperial dynasty in China, ended in 1912 with the abdication of the last emperor, Puyi, who was a child at the time and did not have a wedding banquet.",Temporal,9_Bok_choy,China,Food,https://en.wikipedia.org/wiki/Bok_choy,Food_Drink,Event
What is the brand of baijiu used by the chef of the most Michelin-starred restaurant in the city where baijiu was first distilled during the Tang dynasty?,I don't know,Kweichow Maotai,Wuliangye,Luzhou Laojiao,"There is no evidence that baijiu was first distilled during the Tang dynasty, as the modern form of baijiu likely emerged gradually over time.",Geographical,11_Baijiu,China,Food,https://en.wikipedia.org/wiki/Baijiu,Food_Drink,Event
What type of milk was used in the bubble tea served at the 2022 Shanghai Expo?,Almond,Coconut,Soy,I don't know,"Bubble tea was not served at the 2022 Shanghai Expo. The Shanghai Expo is a large-scale international exhibition, and bubble tea, while popular in China, is not typically featured at such events.",Named,15_Bubble_tea,China,Food,https://en.wikipedia.org/wiki/Bubble_tea,Food_Drink,Event
Which French chef popularized roux in their 17th century cookbook and also introduced the concept of marinades?,François Massialot,Marie-Antoine Carême,François Pierre La Varenne,I don't know,"The false premise in this question is that a single French chef both popularized roux and introduced marinades. While La Varenne is credited with publishing the first reference to roux in his 17th century cookbook, Massialot is the one who first included recipes for marinades in his 1691 book. The question incorrectly attributes both accomplishments to a single chef.",Intersection,1_French_cuisine,France,Food,https://en.wikipedia.org/wiki/French_cuisine,Person,Event
Which French baker in the 19th century introduced both the baguette and the croissant to Paris?,I don't know,Louis XIV,August Zang,Napoleon Bonaparte,"The false premise is that August Zang introduced both the baguette and the croissant to Paris. While he did introduce the Viennese steam oven baking technique and the croissant to Paris in 1839, the history of the baguette predates this and it existed in France before Zang's introduction of the croissant.",Intersection,2_Baguette,France,Food,https://en.wikipedia.org/wiki/Baguette,Person,Event
Which French chef both created the crêpe Suzette and served it to King Louis XIV in the 17th century?,I don't know,Henri Charpentier,Charles Barrier,Auguste Escoffier,"The crêpe Suzette was not created in the 17th century, but rather in the late 19th century. It was also not served to King Louis XIV, as he lived in the 17th century, while the crêpe Suzette dish was not invented until much later.",Intersection,5_Crêpe,France,Food,https://en.wikipedia.org/wiki/Cr%C3%AApe,Person,Event
What is the oldest brand of Herbes de Provence that has been exported to North America since the 1800s?,I don't know,Ducros,Mccormick & Company,Reboul,"The commercial name 'Herbes de Provence' was not established until the 1970s, so there is no brand that has been exported to North America since the 1800s.",Named,6_Herbes_de_Provence,France,Food,https://en.wikipedia.org/wiki/Herbes_de_Provence,Group_or_Org,Event
What is the most popular German sausage eaten during the annual Oktoberfest celebration in Munich?,I don't know,Bratwurst,Weisswurst,Currywurst,"Oktoberfest is an annual beer festival in Munich, and while sausages are commonly served, there is no single ""most popular"" German sausage specifically associated with the event.",Temporal,1_German_cuisine,Germany,Food,https://en.wikipedia.org/wiki/German_cuisine,Food_Drink,Event
Which German chef pioneered the use of curry powder in sausages and incorporated it into a popular street food dish in Berlin in the 1940s?,I don't know,Helmut Goebbels,Kurt Meier,Johanna Schmidt,"Curry-flavored sausages and the dish known as ""Currywurst"" did not originate in the 1940s, but rather became popular in the 1950s. The use of curry powder in German cuisine predates this period.",Intersection,1_German_cuisine,Germany,Food,https://en.wikipedia.org/wiki/German_cuisine,Person,Event
Which German chef first used mustard seeds to make a popular regional condiment and incorporated it into traditional sausage dishes in the 18th century?,Wilhelm Busch,Johann Sebastian Bach,Karl Ritter,I don't know,"There is no evidence that a German chef specifically used mustard seeds to create a popular regional condiment in the 18th century. Mustard has been used in German cuisine for centuries, but not necessarily as a distinct regional condiment created by a single chef.",Intersection,7_Mustard_seed,Germany,Food,https://en.wikipedia.org/wiki/Mustard_seed,Person,Event
Which Persian chef during the Safavid period wrote a cookbook that included recipes for making saffron-infused baklava and Turkish-style kebabs?,I don't know,Mohammad Māddat al-ḥayāt,Rasool Kār-nāmeh,Abbas I,The surviving Safavid cookbooks do not mention recipes for saffron-infused baklava or Turkish-style kebabs. The recipes were focused on traditional Iranian dishes.,Intersection,1_Iranian_cuisine,Iran,Food,https://en.wikipedia.org/wiki/Iranian_cuisine,Person,Event
Which Iranian chef both created the Fesenjan stew and incorporated pomegranate molasses into its recipe in the 14th century?,Ibn Sayyar al-Warraq,I don't know,Mirza Ali-Akbar Khan Ashpazbashi,Nasrallah Falsafī,"The Fesenjan stew has existed long before the 14th century, and pomegranate molasses was likely used in its preparation before that time as well. The question assumes an incorrect timeline for the creation and key ingredients of the dish.",Intersection,3_Fesenjan,Iran,Food,https://en.wikipedia.org/wiki/Fesenjan,Person,Event
What was the main ingredient used to make Tahdig when it was first introduced as a popular street food in Tehran?,Carrots,I don't know,Spinach,Eggplant,"Tahdig is not known to have been a popular street food in Tehran in the 1950s. Tahdig is a traditional Iranian dish, but there is no evidence it was commonly sold as street food at that time in Tehran's history.",Temporal,4_Tahdig,Iran,Food,https://en.wikipedia.org/wiki/Tahdig,Food_Drink,Event
"Which Iranian spice, derived from the Crocus sativus flower, was first cultivated in Greece and then brought to Iran in the 7th century BC?",I don't know,Saffron,Turmeric,Cardamom,"The saffron crocus (Crocus sativus) was likely cultivated in Iran first, not Greece, and its recorded history dates back to the 7th century BC Assyrian botanical treatise.",Intersection,6_Saffron,Iran,Food,https://en.wikipedia.org/wiki/Saffron,Food_Drink,Event
Which Italian pasta maker both used semolina in their pasta and exported their pasta to Calabria and other Muslim and Christian countries in 1154?,Buitoni Company,Joseph Topits,Zátka Brothers,I don't know,"The passage mentions that pasta was exported from Norman Sicily in 1154, but does not specify the pasta maker's name.",Intersection,3_Pasta,Italy,Food,https://en.wikipedia.org/wiki/Pasta,Group_or_Org,Event
"Which ancient Roman emperor first introduced basil as a culinary herb and recommended it be used to flavor their signature fish sauce, garum, in the 2nd century BC?",Trajan,Nero,Augustus,I don't know,"Basil was not introduced as a culinary herb in ancient Rome, and the Roman garum sauce did not contain basil. Basil is native to tropical regions and was likely not used in ancient Roman cuisine.",Intersection,6_Basil,Italy,Food,https://en.wikipedia.org/wiki/Basil,Person,Event
Which Italian chef both grew San Marzano tomatoes in the volcanic soil near Mount Vesuvius and used them to create the first Margherita pizza in Naples in 1889?,Raffaele Esposito,Antonietta Solimene,Enrico Caruso,I don't know,"The false premise in this question is that San Marzano tomatoes were used to create the first Margherita pizza in 1889. While San Marzano tomatoes originated in the Campania region near Mount Vesuvius, they were not used in the creation of the Margherita pizza, which predates the commercial introduction of San Marzano tomatoes.",Intersection,8_San_Marzano_tomato,Italy,Food,https://en.wikipedia.org/wiki/San_Marzano_tomato,Person,Event
What was the primary ingredient used by the monks in Sicily to create the first batch of limoncello in the 1800s?,Oranges,I don't know,Pistachios,Lemons,"The facts state that the exact origin of limoncello is disputed, with claims it was either invented in Sicily about 100 years ago or on the Amalfi Coast, but there is no mention of monks creating it in Sicily in the 1800s.",Named,12_Limoncello,Italy,Food,https://en.wikipedia.org/wiki/Limoncello,Food_Drink,Event
Which British chef both created a famous sticky toffee pudding recipe and introduced a traditional roast goose dish in the 1970s?,Fanny Cradock,Jamie Oliver,I don't know,Heston Blumenthal,The sticky toffee pudding dessert and the roast goose dish were not created or introduced by the same British chef.,Intersection,1_British_cuisine,United_Kingdom,Food,https://en.wikipedia.org/wiki/British_cuisine,Person,Event
Which chef popularized the use of mutton in shepherd's pie and also introduced the practice of using leftover Sunday roast meat in the dish in the 1940s?,Auguste Escoffier,I don't know,Parson Woodforde,Louis Diat,"The facts do not mention any chef popularizing the use of mutton in shepherd's pie or introducing the practice of using leftover Sunday roast meat in the dish in the 1940s. Shepherd's pie can be made with either beef or lamb, and the use of leftover meat was common practice well before the 1940s.",Intersection,4_Shepherd_s_pie,United_Kingdom,Food,https://en.wikipedia.org/wiki/Shepherd_s_pie,Person,Event
Which U.S. state was the first to declare maple syrup as the official state sweetener before the 1980s?,New York,Maine,Vermont,I don't know,There is no evidence that any U.S. state declared maple syrup as the official state sweetener before the 1980s.,Temporal,7_Maple_syrup,United_States,Food,https://en.wikipedia.org/wiki/Maple_syrup,Location,Event
Which Native American tribe both harvested maple sap using wooden buckets and also used hot stones to boil the sap into syrup in the 1600s?,Algonquians,Iroquois,I don't know,Mohicans,The use of hot stones to boil maple sap was not a common practice among Native American tribes in the northeastern United States. The primary method was to boil the sap in clay pots over a fire.,Intersection,7_Maple_syrup,United_States,Food,https://en.wikipedia.org/wiki/Maple_syrup,Group_or_Org,Event
What is the most popular dish made with Chinese yam in the Huai Qing Fu region in the southern China?,Huaishan soup,I don't know,Huaishan dumplings,Huaishan stir-fry,The Huai Qing Fu region was in northern china.,Geographical,10_Chinese_yam,China,Food,https://en.wikipedia.org/wiki/Chinese_yam,Food_Drink,Event
When did the Fränkische Bratwurst first appear in the city famous for its grilling sausages which is the 9th-largest city in Germany?,1498,I don't know,1313,1567,"The Fränkische Bratwurst is not specifically associated with Nuremberg, but it's the 14th-largest city in Germany.",Geographical,3_Bratwurst,Germany,Food,https://en.wikipedia.org/wiki/Bratwurst,Date_or_Time_Period,Event
What is the name of the new Humanistic Buddhist organization that was established in Beijing in the 2000s to promote the revival of Vajrayana Buddhism in China?,Zhēnfó Zōng,I don't know,Huácáng Zōngmén,Cíjì,"The question contains a false premise that a new Humanistic Buddhist organization was established in Beijing in the 2000s to promote the revival of Vajrayana Buddhism. According to the facts, the Humanistic Buddhist movement in China is associated with organizations like Cíjì, which has been working in mainland China since 1991, not a new organization focused on Vajrayana Buddhism.",Temporal,1_Buddhism_in_China,China,Religion,https://en.wikipedia.org/wiki/Buddhism_in_China,Group_or_Org,Event
Which Chinese Buddhist monk both founded the Wabajie Temple in Xishuangbanna in 615 CE and helped spread Theravada Buddhism to southern Yunnan province?,I don't know,Xuan Zang,Zhiyi,Bodhidharma,"The false premise here is that the same Buddhist monk founded the Wabajie Temple and helped spread Theravada Buddhism to Yunnan. In reality, the Wabajie Temple was founded in 615 CE, while Theravada Buddhism spread to Yunnan from Myanmar later, in the 6th-7th centuries. None of the given monks were responsible for both events.",Intersection,1_Buddhism_in_China,China,Religion,https://en.wikipedia.org/wiki/Buddhism_in_China,Person,Event
What is the height of the mountain where the immortal deity worshipped in the Sanyi teaching in Fujian province first attained enlightenment?,"8,152",I don't know,"7,300","7,872","The Sanyi teaching is a form of local worship in Fujian province, but there is no mention of any specific mountain where an immortal deity attained enlightenment. The question contains a false premise about the existence of such a mountain",Named,2_Chinese_folk_religion,China,Religion,https://en.wikipedia.org/wiki/Chinese_folk_religion,Number,Event
Which Confucian philosopher developed the concept of the Mandate of Heaven and also introduced the practice of ancestor worship in China?,Mencius,Zhu Xi,I don't know,Mozi,"The false premise in this question is that Confucianism did not introduce the concept of the Mandate of Heaven or ancestor worship. The Mandate of Heaven was a pre-existing concept in ancient Chinese philosophy, and ancestor worship predates Confucianism.",Intersection,4_Confucianism,China,Religion,https://en.wikipedia.org/wiki/Confucianism,Person,Event
Which French religious leader was both a Gallican and an ardent supporter of the Edict of Nantes in the late 16th century?,King Henry IV,I don't know,Cardinal Richelieu,Bishop Jacques Davy du Perron,"The Edict of Nantes was signed in 1598 by King Henry IV, not supported by a religious leader. Gallicanism refers to the policies of French kings to limit the power of the Pope over the French Catholic Church, which was opposed to the Edict of Nantes.",Intersection,1_Religion_in_France,France,Religion,https://en.wikipedia.org/wiki/Religion_in_France,Person,Event
Which French monarch appointed the bishop who led the negotiations for the Concordat of 1801 between France and the Holy See?,Louis XVI,I don't know,Louis XIV,Napoleon I,"The Concordat of 1801 was negotiated between Napoleon Bonaparte and Pope Pius VII, not a French monarch. There was no bishop appointed by a French monarch to lead these negotiations.",Named,2_Catholic_Church_in_France,France,Religion,https://en.wikipedia.org/wiki/Catholic_Church_in_France,Person,Event
What was the religious affiliation of the French philosopher who founded the pre-Protestant Waldensian movement while visiting the Cevennes region?,I don't know,René Descartes,Jean-Paul Sartre,Peter Waldo,"The Waldensian movement was founded by Peter Waldo, a merchant from Lyon, not a French philosopher. Additionally, the Cevennes region is not mentioned as a place visited by the Waldensian founder.",Named,3_Protestantism_in_France,France,Religion,https://en.wikipedia.org/wiki/Protestantism_in_France,Person,Event
"Which Protestant reformer, in addition to founding the Protestant movement in Germany, also introduced the rite of communion and promoted Protestant unity?",Martin Bucer,I don't know,John Calvin,Martin Luther,"The false premise is that a single Protestant reformer introduced the rite of communion and promoted Protestant unity. In reality, Martin Bucer, not Martin Luther, introduced the rite of communion to German Protestantism and promoted Protestant unity.",Intersection,2_Protestantism_in_Germany,Germany,Religion,https://en.wikipedia.org/wiki/Protestantism_in_Germany,Person,Event
What is the most popular sport in the regions that have a Shia Muslim (The branch of Islam which is followed by 31–41% of all Muslims) majority population in Iran?,Football,I don't know,Basketball,Volleyball,Shia is the branch of Islam which is followed by 10-13% of all Muslims.,Geographical,2_Shia_Islam,Iran,Religion,https://en.wikipedia.org/wiki/Shia_Islam,Common_noun,Event
Which Zoroastrian leader during the Sasanian Empire established Manichaeism and received protection from Emperor Shapur I?,I don't know,Mani,Zarathushtra,Vishtaspa,"Mani, the founder of Manichaeism, was not a Zoroastrian leader, and Manichaeism contained elements of Zoroastrianism but was a distinct religion.",Intersection,3_Zoroastrianism_in_Iran,Iran,Religion,https://en.wikipedia.org/wiki/Zoroastrianism_in_Iran,Person,Event
Which Baháʼí leader both established democratically elected councils and founded an agricultural cooperative in Iran in the early 20th century?,Baháʼu'lláh,ʻAbdu'l-Bahá,I don't know,The Báb,"The facts state that the Baháʼí Faith promoted democratically elected councils and the creation of schools, agricultural cooperatives, and medical clinics by Iranian Baháʼís, but there is no mention of a single Baháʼí leader who established both democratically elected councils and an agricultural cooperative.",Intersection,5_Baháʼí_Faith_in_Iran,Iran,Religion,https://en.wikipedia.org/wiki/Baháʼí_Faith_in_Iran,Person,Event
Which Shia-majority country first established official state holidays to commemorate the martyrdom of Husayn ibn Ali in the 14th century?,I don't know,Iran,Azerbaijan,Iraq,"No Shia-majority country established official state holidays to commemorate the martyrdom of Husayn ibn Ali in the 14th century. The observance of Ashura, which marks Husayn's martyrdom, has been a long-standing religious tradition among Shia Muslims, but it was not until the 20th century that Shia-majority countries began officially recognizing it as a public holiday.",Temporal,2_Shia_Islam,Iran,Religion,https://en.wikipedia.org/wiki/Shia_Islam,Language_or_Nationality_or_Country,Event
Which Italian architect blended Waldensian and Methodist architectural styles in a church built in the 18th century?,Filippo Brunelleschi,Giuseppe Mangiafico,Andrea Palladio,I don't know,"There is no evidence of an Italian architect who blended Waldensian and Methodist architectural styles in a church during the 18th century, as Protestantism in Italy was still emerging and not widely accepted at the time.",Intersection,4_Protestantism_in_Italy,Italy,Religion,https://en.wikipedia.org/wiki/Protestantism_in_Italy,Person,Event
Which architect designed both the dome of St. Peter's Basilica and the Trevi Fountain in the 17th century?,Bramante,Bernini,I don't know,Michelangelo,"The Trevi Fountain was designed by Nicola Salvi, not the architects who worked on St. Peter's Basilica.",Comparison,6_St._Peter_s_Basilica,Italy,Religion,https://en.wikipedia.org/wiki/St._Peter_s_Basilica,Person,Event
Which Protestant denomination has the largest number of adherents in the region of Italy that was formerly part of the Republic of Venice in the south of italy?,I don't know,Seventh-day Adventist Church,Evangelical Christian Church of the Brethren,Waldensian Evangelical Church,"The region that was part of Venice, was in north of Italy.",Named,2_Religion_in_Italy,Italy,Religion,https://en.wikipedia.org/wiki/Religion_in_Italy,Group_or_Org,Event
What business sector has the highest percentage of British Sikh entrepreneurs who own property in multiple European countries?,Healthcare,IT and Technology,I don't know,Manufacturing,"The facts state that 6% of British Sikhs own property elsewhere in Europe, but they do not provide any information about the business sectors or entrepreneurship of British Sikhs.",Named,5_Sikhism_in_the_United_Kingdom,United_Kingdom,Religion,https://en.wikipedia.org/wiki/Sikhism_in_the_United_Kingdom,Common_noun,Event
Which Sikh community in the UK has the highest home ownership rate and the lowest poverty rate?,Sikhs in Greater London,Sikhs in the West Midlands,I don't know,Sikhs across the UK,"The question incorrectly assumes that the Sikh community in the UK with the highest home ownership rate also has the lowest poverty rate. The data provided indicates that Sikhs overall in the UK have high home ownership rates, but also have the second highest poverty rate.",Comparison,5_Sikhism_in_the_United_Kingdom,United_Kingdom,Religion,https://en.wikipedia.org/wiki/Sikhism_in_the_United_Kingdom,Group_or_Org,Event
Which English king's coronation was the last to take place at Westminster Abbey before the abbey was closed for renovations in the 1950s?,George VI,I don't know,Edward VIII,Elizabeth II,"The document does not mention Westminster Abbey being closed for renovations in the 1950s, nor does it provide any information about the last coronation to take place there.",Temporal,6_Westminster_Abbey,United_Kingdom,Religion,https://en.wikipedia.org/wiki/Westminster_Abbey,Person,Event
Which Sikh ruler both arrived in England in the 1800s and had a permanent settlement in Victorian London?,Empress Jind Kaur,Guru Gobind Singh,I don't know,Maharaja Duleep Singh,The question incorrectly assumes that both Maharaja Duleep Singh and Empress Jind Kaur arrived in England in the same time period and had a permanent settlement in Victorian London.,Intersection,5_Sikhism_in_the_United_Kingdom,United_Kingdom,Religion,https://en.wikipedia.org/wiki/Sikhism_in_the_United_Kingdom,Person,Event
What was the religious affiliation of the US Congressperson who led the movement to ban alcohol during the Prohibition era?,Jerry Falwell,I don't know,Carrie Nation,William Jennings Bryan,"The question contains a false premise that a specific US Congressperson led the Prohibition movement, when in reality the Prohibition movement involved various religious and political figures, not a single Congressperson. The question also suggests that this person's religious affiliation is verifiable, when in fact the document does not provide that level of detail.",Named,1_Religion_in_the_United_States,United_States,Religion,https://en.wikipedia.org/wiki/Religion_in_the_United_States,Person,Event
Which Catholic Church sect both has the largest number of adherents in the US and has over 70 million members according to the 2023 Gallup survey?,I don't know,Southern Baptist Convention,Eastern Orthodox,Roman Catholic,"The question is false because the largest Catholic denomination in the US is not specified to have over 70 million members, and the Southern Baptist Convention is not a Catholic denomination.",Intersection,2_Christianity_in_the_United_States,United_States,Religion,https://en.wikipedia.org/wiki/Christianity_in_the_United_States,Group_or_Org,Event
Which Protestant denomination introduced Christianity to the Americas and also has the highest percentage of graduate and post-graduate degrees per capita?,Lutheran,I don't know,Episcopal,Presbyterian,"The question is false because Christianity was introduced to the Americas through European settlement, not a specific Protestant denomination. Additionally, while Mainline Protestant denominations like Episcopal, Presbyterian, and Lutheran have high educational attainment, the question incorrectly implies a single denomination has both introduced Christianity to the Americas and has the highest educational attainment.",Intersection,2_Christianity_in_the_United_States,United_States,Religion,https://en.wikipedia.org/wiki/Christianity_in_the_United_States,Group_or_Org,Event
Which Muslim leader converted the largest number of African-American slaves to Islam in the 19th century and established the first major mosque in the United States?,Achmed Abdullah,I don't know,Bilali 'Ben Ali' Muhammad,Hajj Ali,"The premise that a single Muslim leader converted the largest number of African-American slaves to Islam and established the first major mosque in the US is false. Islam spread gradually among enslaved Africans, with many forcibly converted to Christianity, and the first major mosques were built in the early 20th century, not the 19th century.",Intersection,4_Islam_in_the_United_States,United_States,Religion,https://en.wikipedia.org/wiki/Islam_in_the_United_States,Person,Event
